experimental_rank,model_id,kd_nm,boltz_affinity_pred_value,boltz_rank_within_full_set,task5_existing_global_rank
231.0,UTEXAS_10000592_R623,490.0,-0.3419286012649536,145.0,190
233.0,UTEXAS_10000590_R621,500.0,-1.0344409942626953,55.0,69
233.0,UTEXAS_10000375_R397,500.0,-0.9127092957496643,64.0,83
233.0,UTEXAS_10001063_R1106,500.0,-0.07920238375663757,173.0,233
235.0,UTEXAS_10001154_R1198,543.3,-0.8220858573913574,76.0,98
236.0,UTEXAS_10000228_R249,600.0,-0.8876103758811951,66.0,85
237.0,UTEXAS_10000584_R613,625.0,-0.4725205600261688,131.0,171
238.0,UTEXAS_10000328_R350,660.0,-1.768578290939331,7.0,8
239.0,UTEXAS_10000592_R624,750.0,0.5003838539123535,228.0,320
240.0,UTEXAS_10000818_R854,766.0,0.24513685703277588,204.0,287
242.0,UTEXAS_10000758_R791,1000.0,-0.8283839225769043,75.0,97
242.0,UTEXAS_10000230_R251,1000.0,-0.27651405334472656,157.0,204
242.0,UTEXAS_10000229_R250,1000.0,0.5268416404724121,233.0,325
244.0,UTEXAS_10000405_R429,1080.0,-1.1250032186508179,50.0,61
245.0,UTEXAS_10000929_R970,1210.0,-0.24038287997245789,161.0,210
246.0,UTEXAS_10000215_R236,1300.0,-1.591085433959961,16.0,18
247.5,UTEXAS_10000142_R157,1500.0,0.87067711353302,255.0,355
247.5,UTEXAS_10000813_R849,1500.0,1.1243350505828857,264.0,368
249.0,UTEXAS_10000301_R323,1600.0,-0.32391008734703064,150.0,196
250.0,UTEXAS_10000809_R845,1757.0,-0.8024303913116455,78.0,101
251.0,UTEXAS_10000927_R968,1770.0,-0.5957988500595093,107.0,143
252.0,UTEXAS_10000473_R499,1800.0,-0.71153724193573,90.0,119
253.0,UTEXAS_10000431_R457,2000.0,0.3884740173816681,215.0,302
254.0,UTEXAS_10000162_R177,2100.0,-1.0487866401672363,53.0,65
255.0,UTEXAS_10000822_R858,2200.0,-0.286909282207489,155.0,202
256.0,UTEXAS_10000302_R324,2700.0,-1.1825071573257446,43.0,52
257.0,UTEXAS_10000810_R846,3000.0,0.041503697633743286,187.0,256
258.0,UTEXAS_10000812_R848,3200.0,0.42103007435798645,220.0,308
259.0,UTEXAS_10000215_R235,3300.0,-1.6156423091888428,15.0,17
260.0,UTEXAS_10000111_R117,3309.0,-1.7460026741027832,8.0,9
261.0,UTEXAS_10000814_R850,3800.0,0.7397425174713135,250.0,347
262.0,UTEXAS_10001060_R1103,4600.0,-0.8836085796356201,68.0,87
263.0,UTEXAS_10001064_R1107,4800.0,0.562961757183075,236.0,329
264.0,UTEXAS_10001131_R1174,4830.0,0.0008265376091003418,183.0,248
265.0,UTEXAS_10000443_R469,4900.0,-0.9709447622299194,61.0,77
266.0,UTEXAS_10000811_R847,5200.0,0.7110493183135986,245.0,342
267.0,UTEXAS_10000474_R500,5800.0,1.4738637208938599,276.0,383
268.0,UTEXAS_10000299_R321,6300.0,-1.4753352403640747,20.0,24
269.0,UTEXAS_10000164_R179,7000.0,-1.4462387561798096,23.0,27
270.0,UTEXAS_10000163_R178,8000.0,-1.1484007835388184,47.0,58
271.0,UTEXAS_10000062_R65,8800.0,-1.2782385349273682,33.0,41
272.0,UTEXAS_10000297_R319,9100.0,-1.1810885667800903,44.0,53
273.0,UTEXAS_10000303_R325,9800.0,-0.3145025670528412,151.0,197
274.5,UTEXAS_10000350_R372,10000.0,-1.3386646509170532,29.0,35
274.5,UTEXAS_10000349_R371,10000.0,-1.1345696449279785,48.0,59
276.0,UTEXAS_10000296_R318,11000.0,-1.1114237308502197,51.0,62
277.0,UTEXAS_10000821_R857,11600.0,0.05674615502357483,188.0,257
278.0,UTEXAS_10000432_R458,12000.0,-0.5035208463668823,125.0,163
279.0,UTEXAS_10000300_R322,13000.0,-0.8855360150337219,67.0,86
280.0,UTEXAS_10000063_R68,19700.0,-0.38745176792144775,139.0,181
281.5,UTEXAS_10000326_R348,20000.0,-0.8105297088623047,77.0,99
281.5,UTEXAS_10000061_R64,20000.0,-0.1685931533575058,165.0,218
283.0,UTEXAS_10000819_R855,20030.0,0.004798144102096558,184.0,249
284.0,UTEXAS_10000165_R180,25000.0,-1.6857603788375854,11.0,12
285.0,UTEXAS_10000318_R340,35000.0,-1.4581440687179565,21.0,25
286.0,UTEXAS_10000351_R373,45000.0,0.4842888414859772,227.0,318
287.0,UTEXAS_10000622_R654,50000.0,-1.3234983682632446,32.0,38
288.0,UTEXAS_10000070_R75,56000.0,-2.0535600185394287,1.0,1
289.5,UTEXAS_10000325_R347,100000.0,-1.0420643091201782,54.0,66
289.5,UTEXAS_10000001_R3,100000.0,-0.5910786986351013,109.0,145
291.0,UTEXAS_10000298_R320,120000.0,-0.30576974153518677,153.0,199
292.0,UTEXAS_10001413_R1462,129000.0,-1.7967630624771118,5.0,5
293.0,UTEXAS_10001412_R1461,135000.0,2.5800130367279053,295.0,412
294.0,UTEXAS_10000305_R327,150000.0,-0.8598616123199463,70.0,91
295.0,UTEXAS_10000289_R311,165000.0,-0.051422879099845886,175.0,237
296.0,UTEXAS_10000304_R326,220000.0,-0.7408907413482666,88.0,114
297.0,UTEXAS_10000288_R310,223000.0,-0.9958742260932922,59.0,74
298.0,UTEXAS_10000352_R374,760000.0,0.0969909131526947,191.0,263
299.0,UTEXAS_10001333_R1378,1000000.0,-0.6408461332321167,102.0,135
300.5,UTEXAS_10000841_R880,139000000.0,-0.6605013608932495,97.0,130
300.5,UTEXAS_10000841_R879,139000000.0,-0.6555147171020508,100.0,133
